Country,ISO3,Indicator,Technology,Energy_Type,Unit,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022
"Afghanistan, Islamic Rep. of",AFG,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),31.64,31.64,31.64,110.101,270.93,270.93,270.93,310.358,295.075,192.6,179.3,234.85,193.575,207.375,170.138,146.663,148.318,163.618,192.93,176.71,151.79,257.78,234.88
"Afghanistan, Islamic Rep. of",AFG,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),29.725,29.725,29.725,37.033,52.013,52.013,52.013,52.013,58.111,130.111,169.311,230.911,235.911,236.661,236.661,236.661,236.661,236.661,236.661,276.661,276.661,276.661,276.661
"Afghanistan, Islamic Rep. of",AFG,Electricity Generation,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),457.939,457.939,457.949,458.324,458.651,461.584,659.959,691.79,591.895,753.827,803.139,682.344,736.146,854.829,967.683,1000.571,1024.908,1042.548,881.785,1220.959,988.256,849.791,737.882
"Afghanistan, Islamic Rep. of",AFG,Electricity Installed Capacity,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),191.503,191.503,191.506,191.619,191.718,192.601,195.647,196.457,207.701,212.901,241.35,244.799,273.248,276.697,280.146,283.595,329.044,348.993,348.993,348.993,348.993,356.608,459.138
"Afghanistan, Islamic Rep. of",AFG,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),,,,,,,,,,0.004,0.18,0.212,28.374,29.643,32.319,33.319,35.551,39.347,38.949,55.848,65.991,78.786,93.876
"Afghanistan, Islamic Rep. of",AFG,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),,,,,,,,,,0.002,0.102,0.12,16.122,16.843,18.363,18.931,20.2,22.341,22.116,31.631,31.053,31.226,33.243
"Afghanistan, Islamic Rep. of",AFG,Electricity Generation,Wind energy,Total Renewable,Gigawatt-hours (GWh),,,,,,,,,,,,,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123,0.123
"Afghanistan, Islamic Rep. of",AFG,Electricity Installed Capacity,Wind energy,Total Renewable,Megawatt (MW),,,,,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.4,0.4,0.4,0.4,0.4,0.4
Albania,ALB,Electricity Installed Capacity,Bioenergy,Total Renewable,Megawatt (MW),,,,,,,,,,,,,,,,,,1.425,1.425,1.425,1.425,1.425,1.425
Albania,ALB,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),184.0,175.0,226.0,107.0,140.0,70.0,93.0,72.0,,1.0,1.0,59.0,,,,,,,,,,,
Albania,ALB,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),224.0,224.0,224.0,224.0,224.0,224.0,224.0,224.0,,,,,97.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0
Albania,ALB,Electricity Generation,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),4594.0,3555.0,3512.0,4885.0,5466.0,5373.0,5431.0,2788.0,3797.0,5201.0,7567.0,4132.0,4725.0,6959.0,4724.441,5895.0,7781.702,4524.979,8552.152,5183.847,5280.901,8921.94,6841.751
Albania,ALB,Electricity Installed Capacity,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),1453.0,1453.0,1453.0,1453.0,1453.0,1453.0,1453.0,1455.0,1457.0,1459.0,1475.0,1508.0,1628.0,1781.0,1725.0,1798.0,1913.0,2047.0,2105.0,2162.0,2387.0,2507.0,2493.0
Albania,ALB,Electricity Generation,Solar energy,Total Renewable,Gigawatt-hours (GWh),,0.136,0.272,0.272,0.272,0.272,0.272,0.272,0.272,0.408,0.544,0.767,0.924,1.03,1.188,1.428,1.36,1.2,1.334,22.196,32.265,40.77,160.892
Albania,ALB,Electricity Installed Capacity,Solar energy,Total Renewable,Megawatt (MW),,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.564,0.679,0.758,0.874,1.05,1.0,1.0,1.0,14.0,21.0,23.0,100.14
Algeria,DZA,Electricity Generation,Fossil fuels,Total Non-Renewable,Gigawatt-hours (GWh),25358.0,26556.0,27591.0,29306.4,30999.0,32320.0,35008.0,36970.0,39953.0,38195.0,45560.0,50722.0,56775.0,59560.0,63988.0,68576.0,70661.0,75383.0,75880.0,80691.0,78432.0,84729.0,90550.0
Algeria,DZA,Electricity Installed Capacity,Fossil fuels,Total Non-Renewable,Megawatt (MW),5846.21,5842.7,6333.81,6465.24,6757.24,7576.02,8017.26,8629.46,8740.33,11565.66,11751.094,11857.064,13317.88,15632.26,16491.36,17733.73,19574.4,19995.9,21583.9,23923.5,24763.5,25219.5,26019.5
Algeria,DZA,Electricity Generation,Hydropower (excl. Pumped Storage),Total Renewable,Gigawatt-hours (GWh),54.0,69.0,57.4,265.2,251.1,555.261,217.57,226.08,282.715,342.0,172.78,378.222,389.4,98.481,192.6,145.318,72.0,56.0,117.0,152.0,49.6,9.0,16.0
Algeria,DZA,Electricity Installed Capacity,Hydropower (excl. Pumped Storage),Total Renewable,Megawatt (MW),276.6,276.6,276.6,276.6,276.6,276.6,249.6,249.6,230.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,227.6,228.0,228.0,228.0,208.6,128.9,128.9
